Distance	k	Performance
CosineSimilarity	10.0	0.8634538152610441
CosineSimilarity	11.0	0.852
CosineSimilarity	12.0	0.8531746031746031
CosineSimilarity	13.0	0.8853754940711462
CosineSimilarity	14.0	0.8725868725868726
CosineSimilarity	15.0	0.8775510204081632
CosineSimilarity	16.0	0.9159663865546218
CosineSimilarity	17.0	0.8866396761133604
CosineSimilarity	18.0	0.8814229249011858
CosineSimilarity	19.0	0.871900826446281
CosineSimilarity	20.0	0.9076305220883534
CosineSimilarity	21.0	0.9051383399209486
CosineSimilarity	22.0	0.8645418326693227
CosineSimilarity	23.0	0.8938775510204081
CosineSimilarity	24.0	0.9139344262295082
CosineSimilarity	25.0	0.8870967741935484
CosineSimilarity	26.0	0.8976377952755905
CosineSimilarity	27.0	0.907258064516129
CosineSimilarity	28.0	0.890625
CosineSimilarity	29.0	0.8932806324110671
CosineSimilarity	30.0	0.896551724137931
CosineSimilarity	31.0	0.8844621513944223
CosineSimilarity	32.0	0.9102040816326531
CosineSimilarity	33.0	0.8645418326693227
CosineSimilarity	34.0	0.9090909090909091
CosineSimilarity	35.0	0.8674698795180723
CosineSimilarity	36.0	0.9423868312757202
CosineSimilarity	37.0	0.8979591836734694
CosineSimilarity	38.0	0.8907563025210085
CosineSimilarity	39.0	0.92
CosineSimilarity	40.0	0.9435483870967742
CosineSimilarity	41.0	0.9149797570850202
CosineSimilarity	42.0	0.9156626506024096
CosineSimilarity	43.0	0.9221311475409836
CosineSimilarity	44.0	0.8785425101214575
CosineSimilarity	45.0	0.8866396761133604
CosineSimilarity	46.0	0.912
CosineSimilarity	47.0	0.912
CosineSimilarity	48.0	0.9300411522633745
CosineSimilarity	49.0	0.9338842975206612
CosineSimilarity	50.0	0.8870292887029289
