Distance	k	Performance
CorrelationSimilarity	39.0	0.7205882352941176
CorrelationSimilarity	40.0	0.6714285714285714
CorrelationSimilarity	41.0	0.6111111111111112
CorrelationSimilarity	42.0	0.7285714285714285
CorrelationSimilarity	43.0	0.6081081081081081
CorrelationSimilarity	44.0	0.611764705882353
CorrelationSimilarity	45.0	0.6515151515151515
CorrelationSimilarity	46.0	0.6233766233766234
CorrelationSimilarity	47.0	0.6883116883116883
CorrelationSimilarity	48.0	0.6266666666666667
CorrelationSimilarity	49.0	0.6621621621621622
CorrelationSimilarity	50.0	0.6666666666666666
CosineSimilarity	1.0	0.8382352941176471
CosineSimilarity	2.0	0.8611111111111112
CosineSimilarity	3.0	0.8481012658227848
CosineSimilarity	4.0	0.7733333333333333
CosineSimilarity	5.0	0.8076923076923077
CosineSimilarity	6.0	0.8108108108108109
CosineSimilarity	7.0	0.868421052631579
CosineSimilarity	8.0	0.8860759493670886
CosineSimilarity	9.0	0.8450704225352113
CosineSimilarity	10.0	0.8732394366197183
CosineSimilarity	11.0	0.9253731343283582
CosineSimilarity	12.0	0.8076923076923077
CosineSimilarity	13.0	0.8169014084507042
CosineSimilarity	14.0	0.8194444444444444
CosineSimilarity	15.0	0.8378378378378378
CosineSimilarity	16.0	0.8289473684210527
CosineSimilarity	17.0	0.8472222222222222
CosineSimilarity	18.0	0.9041095890410958
CosineSimilarity	19.0	0.76
CosineSimilarity	20.0	0.8133333333333334
CosineSimilarity	21.0	0.8108108108108109
CosineSimilarity	22.0	0.8082191780821918
CosineSimilarity	23.0	0.8115942028985508
CosineSimilarity	24.0	0.8823529411764706
CosineSimilarity	25.0	0.8333333333333334
CosineSimilarity	26.0	0.7538461538461538
CosineSimilarity	27.0	0.7763157894736842
CosineSimilarity	28.0	0.8192771084337349
CosineSimilarity	29.0	0.8076923076923077
CosineSimilarity	30.0	0.7866666666666666
CosineSimilarity	31.0	0.8354430379746836
CosineSimilarity	32.0	0.7746478873239436
CosineSimilarity	33.0	0.8714285714285714
CosineSimilarity	34.0	0.796875
CosineSimilarity	35.0	0.7945205479452054
CosineSimilarity	36.0	0.8055555555555556
CosineSimilarity	37.0	0.7567567567567568
CosineSimilarity	38.0	0.8026315789473685
CosineSimilarity	39.0	0.835820895522388
CosineSimilarity	40.0	0.8289473684210527
CosineSimilarity	41.0	0.8055555555555556
CosineSimilarity	42.0	0.7721518987341772
CosineSimilarity	43.0	0.7702702702702703
CosineSimilarity	44.0	0.8493150684931506
CosineSimilarity	45.0	0.7391304347826086
CosineSimilarity	46.0	0.8181818181818182
CosineSimilarity	47.0	0.8
CosineSimilarity	48.0	0.8227848101265823
CosineSimilarity	49.0	0.8285714285714286
CosineSimilarity	50.0	0.8382352941176471
